crm_cd,crm_cd_desc,crm_cd_desc
487,BOAT - STOLEN,1
510,VEHICLE - STOLEN,1
520,VEHICLE - ATTEMPT STOLEN,1
622,BATTERY ON A FIREFIGHTER,1
623,BATTERY POLICE (SIMPLE),1
624,BATTERY - SIMPLE ASSAULT,1
625,OTHER ASSAULT,1
626,INTIMATE PARTNER - SIMPLE ASSAULT,1
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1
647,THROWING OBJECT AT MOVING VEHICLE,1
648,ARSON,1
649,DOCUMENT FORGERY / STOLEN FELONY,1
651,DOCUMENT WORTHLESS ($200.01 & OVER),1
652,DOCUMENT WORTHLESS ($200 & UNDER),1
653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",1
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",1
660,COUNTERFEIT,1
661,UNAUTHORIZED COMPUTER ACCESS,1
662,"BUNCO, GRAND THEFT",1
664,"BUNCO, PETTY THEFT",1
666,"BUNCO, ATTEMPT",1
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",1
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1
753,DISCHARGE FIREARMS/SHOTS FIRED,1
755,BOMB SCARE,1
756,WEAPONS POSSESSION/BOMBING,1
760,LEWD/LASCIVIOUS ACTS WITH CHILD,1
761,BRANDISH WEAPON,1
762,LEWD CONDUCT,1
763,STALKING,1
805,PIMPING,1
806,PANDERING,1
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1
813,CHILD ANNOYING (17YRS & UNDER),1
814,CHILD PORNOGRAPHY,1
815,SEXUAL PENETRATION W/FOREIGN OBJECT,1
820,ORAL COPULATION,1
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),1
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",1
850,INDECENT EXPOSURE,1
860,BATTERY WITH SEXUAL CONTACT,1
865,"DRUGS, TO A MINOR",1
870,CHILD ABANDONMENT,1
880,DISRUPT SCHOOL,1
882,INCITING A RIOT,1
884,FAILURE TO DISPERSE,1
886,DISTURBING THE PEACE,1
888,TRESPASSING,1
890,FAILURE TO YIELD,1
900,VIOLATION OF COURT ORDER,1
901,VIOLATION OF RESTRAINING ORDER,1
902,VIOLATION OF TEMPORARY RESTRAINING ORDER,1
903,CONTEMPT OF COURT,1
905,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO),1
906,FIREARMS RESTRAINING ORDER (FIREARMS RO),1
910,KIDNAPPING,1
920,KIDNAPPING - GRAND ATTEMPT,1
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,1
922,CHILD STEALING,1
924,TELEPHONE PROPERTY - DAMAGE,1
926,TRAIN WRECKING,1
928,THREATENING PHONE CALLS/LETTERS,1
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",1
932,PEEPING TOM,1
933,PROWLER,1
940,EXTORTION,1
942,BRIBERY,1
943,CRUELTY TO ANIMALS,1
944,CONSPIRACY,1
946,OTHER MISCELLANEOUS CRIME,1
948,BIGAMY,1
949,ILLEGAL DUMPING,1
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",1
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",1
952,ABORTION/ILLEGAL,1
954,CONTRIBUTING,1
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1
